DateTime,LeftMouseLocation
2026/1/20 23:13:24,middle
2026/1/20 23:13:25,corridor
2026/1/20 23:13:25,side
2026/1/21 0:06:44,corridor
2026/1/21 0:06:45,middle
2026/1/21 0:06:46,mid-sep
2026/1/21 0:07:12,middle
2026/1/21 0:07:18,corridor
2026/1/21 0:07:23,side
2026/1/21 1:14:34,corridor
2026/1/21 1:14:34,middle
2026/1/21 1:14:35,mid-sep
2026/1/21 1:15:32,middle
2026/1/21 1:15:39,corridor
2026/1/21 1:15:44,side
2026/1/21 3:00:45,corridor
2026/1/21 3:00:45,middle
2026/1/21 3:00:55,mid-sep
2026/1/21 3:01:05,middle
2026/1/21 3:01:15,corridor
2026/1/21 3:01:16,side
2026/1/21 3:01:52,corridor
2026/1/21 3:01:53,middle
2026/1/21 3:01:54,mid-sep
2026/1/21 3:02:26,middle
2026/1/21 3:02:28,corridor
2026/1/21 3:02:29,side
2026/1/21 3:59:41,corridor
2026/1/21 3:59:42,middle
2026/1/21 3:59:44,mid-sep
2026/1/21 4:00:03,middle
2026/1/21 4:00:08,corridor
2026/1/21 4:00:10,side
2026/1/21 4:00:19,corridor
2026/1/21 4:00:20,middle
2026/1/21 4:00:21,mid-sep
2026/1/21 4:00:32,middle
2026/1/21 4:00:34,corridor
2026/1/21 4:00:37,side
2026/1/21 4:45:27,corridor
2026/1/21 4:45:27,middle
2026/1/21 4:45:29,mid-sep
2026/1/21 4:45:36,middle
2026/1/21 4:45:38,corridor
2026/1/21 4:45:39,side
2026/1/21 5:18:42,corridor
2026/1/21 5:18:42,middle
2026/1/21 5:18:43,mid-sep
2026/1/21 5:19:03,middle
2026/1/21 5:19:24,mid-sep
2026/1/21 5:20:30,middle
2026/1/21 5:20:38,mid-sep
2026/1/21 5:20:50,middle
2026/1/21 5:20:54,corridor
2026/1/21 5:20:54,side
2026/1/21 5:24:18,corridor
2026/1/21 5:24:19,middle
2026/1/21 5:24:19,mid-sep
2026/1/21 5:24:29,middle
2026/1/21 5:24:30,corridor
2026/1/21 5:24:30,side
2026/1/21 5:26:37,corridor
2026/1/21 5:26:39,middle
2026/1/21 5:26:40,mid-sep
2026/1/21 5:26:58,middle
2026/1/21 5:26:59,corridor
2026/1/21 5:27:11,side
2026/1/21 5:31:29,corridor
2026/1/21 5:31:31,middle
2026/1/21 5:31:33,mid-sep
2026/1/21 5:31:40,middle
2026/1/21 5:31:42,corridor
2026/1/21 5:31:42,side
2026/1/21 5:33:58,corridor
2026/1/21 5:34:01,side
2026/1/21 5:34:57,corridor
2026/1/21 5:35:00,middle
2026/1/21 5:35:02,mid-sep
2026/1/21 5:36:17,middle
2026/1/21 5:36:25,mid-sep
2026/1/21 5:37:02,middle
2026/1/21 5:37:32,mid-sep
2026/1/21 5:38:05,middle
2026/1/21 5:38:15,mid-sep
2026/1/21 5:39:12,middle
2026/1/21 5:39:15,corridor
2026/1/21 5:39:17,side
2026/1/21 5:40:28,corridor
2026/1/21 5:40:44,middle
2026/1/21 5:40:58,mid-sep
2026/1/21 5:41:52,middle
2026/1/21 5:41:54,corridor
2026/1/21 5:41:55,side
2026/1/21 6:39:40,corridor
2026/1/21 6:39:43,middle
2026/1/21 6:39:45,mid-sep
2026/1/21 6:40:02,middle
2026/1/21 6:40:16,corridor
2026/1/21 6:40:25,side
2026/1/21 6:44:09,corridor
2026/1/21 6:44:10,middle
2026/1/21 6:44:11,mid-sep
2026/1/21 6:44:15,middle
2026/1/21 6:44:31,mid-sep
2026/1/21 6:44:34,middle
2026/1/21 6:44:49,corridor
2026/1/21 6:44:50,side
2026/1/21 6:50:11,corridor
2026/1/21 6:50:14,middle
2026/1/21 6:50:17,mid-sep
2026/1/21 6:50:28,middle
2026/1/21 6:50:30,corridor
2026/1/21 6:50:37,side
2026/1/21 6:54:33,corridor
2026/1/21 6:54:33,middle
2026/1/21 6:54:34,mid-sep
2026/1/21 6:54:51,middle
2026/1/21 6:54:53,corridor
2026/1/21 6:54:53,side
2026/1/21 6:54:55,corridor
2026/1/21 6:54:58,middle
2026/1/21 6:54:59,mid-sep
2026/1/21 6:55:09,middle
2026/1/21 6:55:11,corridor
2026/1/21 6:55:12,side
2026/1/21 6:59:01,corridor
2026/1/21 6:59:05,middle
2026/1/21 6:59:07,mid-sep
2026/1/21 6:59:14,middle
2026/1/21 6:59:16,corridor
2026/1/21 6:59:16,side
2026/1/21 7:01:03,corridor
2026/1/21 7:01:13,middle
2026/1/21 7:01:14,mid-sep
2026/1/21 7:01:16,middle
2026/1/21 7:01:47,corridor
2026/1/21 7:01:53,side
2026/1/21 7:09:42,corridor
2026/1/21 7:09:46,middle
2026/1/21 7:09:49,mid-sep
2026/1/21 7:11:14,middle
2026/1/21 7:11:18,corridor
2026/1/21 7:11:19,side
2026/1/21 7:15:46,corridor
2026/1/21 7:15:48,middle
2026/1/21 7:15:49,mid-sep
2026/1/21 7:16:16,middle
2026/1/21 7:16:34,corridor
2026/1/21 7:16:35,side
2026/1/21 7:21:47,corridor
2026/1/21 7:22:04,middle
2026/1/21 7:22:06,mid-sep
2026/1/21 7:22:22,middle
2026/1/21 7:22:32,corridor
2026/1/21 7:22:33,side
2026/1/21 7:25:31,corridor
2026/1/21 7:25:39,side
2026/1/21 7:27:26,corridor
2026/1/21 7:27:34,side
2026/1/21 7:37:05,corridor
2026/1/21 7:37:06,middle
2026/1/21 7:37:07,mid-sep
2026/1/21 7:38:07,middle
2026/1/21 7:39:07,mid-sep
2026/1/21 7:39:27,middle
2026/1/21 7:39:41,corridor
2026/1/21 7:39:42,side
2026/1/21 7:41:09,corridor
2026/1/21 7:41:11,middle
2026/1/21 7:41:12,mid-sep
2026/1/21 7:41:52,middle
2026/1/21 7:42:16,mid-sep
2026/1/21 7:43:30,middle
2026/1/21 7:43:40,corridor
2026/1/21 7:43:40,side
2026/1/21 7:45:09,corridor
2026/1/21 7:45:37,side
2026/1/21 9:17:17,corridor
2026/1/21 9:17:18,middle
2026/1/21 9:17:19,mid-sep
2026/1/21 9:17:43,middle
2026/1/21 9:17:54,mid-sep
2026/1/21 9:18:03,middle
2026/1/21 9:18:05,corridor
2026/1/21 9:18:13,side
2026/1/21 9:19:59,corridor
2026/1/21 9:20:00,middle
2026/1/21 9:20:01,mid-sep
2026/1/21 9:20:08,middle
2026/1/21 9:20:56,corridor
2026/1/21 9:21:11,side
2026/1/21 9:22:28,corridor
2026/1/21 9:22:31,side
2026/1/21 9:24:31,corridor
2026/1/21 9:24:34,middle
2026/1/21 9:24:36,mid-sep
2026/1/21 9:25:07,middle
2026/1/21 9:25:13,corridor
2026/1/21 9:25:14,side
2026/1/21 9:28:41,corridor
2026/1/21 9:28:42,middle
2026/1/21 9:28:44,mid-sep
2026/1/21 9:29:26,middle
2026/1/21 9:29:43,mid-sep
2026/1/21 9:30:08,middle
2026/1/21 9:30:11,corridor
2026/1/21 9:30:14,side
2026/1/21 9:40:43,corridor
2026/1/21 9:40:43,side
2026/1/21 9:42:26,corridor
2026/1/21 9:42:28,middle
2026/1/21 9:42:30,mid-sep
2026/1/21 9:43:07,middle
2026/1/21 9:43:12,corridor
2026/1/21 9:43:12,side
2026/1/21 9:47:31,corridor
2026/1/21 9:47:40,middle
2026/1/21 9:47:41,mid-sep
2026/1/21 9:48:54,middle
2026/1/21 9:48:56,corridor
2026/1/21 9:48:57,side
2026/1/21 9:52:01,corridor
2026/1/21 9:52:03,side
2026/1/21 9:55:33,corridor
2026/1/21 9:55:53,side
2026/1/21 9:58:25,corridor
2026/1/21 9:58:34,middle
2026/1/21 9:58:34,mid-sep
2026/1/21 9:58:52,middle
2026/1/21 9:59:05,mid-sep
2026/1/21 9:59:09,middle
2026/1/21 9:59:16,corridor
2026/1/21 9:59:17,side
2026/1/21 12:02:18,corridor
2026/1/21 12:02:19,middle
2026/1/21 12:02:21,mid-sep
2026/1/21 12:02:36,middle
2026/1/21 12:02:42,corridor
2026/1/21 12:02:44,side
2026/1/21 12:05:57,corridor
2026/1/21 12:06:00,middle
2026/1/21 12:06:06,mid-sep
2026/1/21 12:06:21,middle
2026/1/21 12:06:25,corridor
2026/1/21 12:06:26,side
2026/1/21 12:07:20,corridor
2026/1/21 12:07:20,side
2026/1/21 12:13:18,corridor
2026/1/21 12:13:18,middle
2026/1/21 12:13:19,mid-sep
2026/1/21 12:13:39,middle
2026/1/21 12:14:17,corridor
2026/1/21 12:14:18,side
2026/1/21 12:14:54,corridor
2026/1/21 12:14:59,middle
2026/1/21 12:15:03,mid-sep
2026/1/21 12:15:16,middle
2026/1/21 12:15:26,corridor
2026/1/21 12:15:26,side
2026/1/21 12:18:55,corridor
2026/1/21 12:18:57,middle
2026/1/21 12:18:57,mid-sep
2026/1/21 12:19:01,middle
2026/1/21 12:19:01,corridor
2026/1/21 12:19:01,side
2026/1/21 12:21:41,corridor
2026/1/21 12:21:44,side
2026/1/21 12:28:04,corridor
2026/1/21 12:28:10,middle
2026/1/21 12:28:12,mid-sep
2026/1/21 12:28:23,middle
2026/1/21 12:28:29,corridor
2026/1/21 12:28:30,side
2026/1/21 12:31:56,corridor
2026/1/21 12:31:58,side
2026/1/21 12:35:53,corridor
2026/1/21 12:35:56,middle
2026/1/21 12:35:59,mid-sep
2026/1/21 12:36:18,middle
2026/1/21 12:36:23,corridor
2026/1/21 12:36:24,side
2026/1/21 12:40:33,corridor
2026/1/21 12:40:39,side
2026/1/21 14:45:06,corridor
2026/1/21 14:45:07,middle
2026/1/21 14:45:08,mid-sep
2026/1/21 14:45:30,middle
2026/1/21 14:45:39,mid-sep
2026/1/21 14:45:50,middle
2026/1/21 14:45:52,corridor
2026/1/21 14:45:56,side
2026/1/21 14:47:54,corridor
2026/1/21 14:47:56,side
2026/1/21 14:49:30,corridor
2026/1/21 14:49:31,side
2026/1/21 14:51:47,corridor
2026/1/21 14:51:49,middle
2026/1/21 14:51:51,mid-sep
2026/1/21 14:52:13,middle
2026/1/21 14:52:17,corridor
2026/1/21 14:52:17,side
2026/1/21 15:01:00,corridor
2026/1/21 15:01:01,middle
2026/1/21 15:01:03,mid-sep
2026/1/21 15:01:42,middle
2026/1/21 15:02:08,mid-sep
2026/1/21 15:02:36,middle
2026/1/21 15:02:55,mid-sep
2026/1/21 15:02:59,middle
2026/1/21 15:03:02,corridor
2026/1/21 15:03:04,side
2026/1/21 15:11:16,corridor
2026/1/21 15:11:23,middle
2026/1/21 15:11:24,mid-sep
2026/1/21 15:11:29,middle
2026/1/21 15:11:30,corridor
2026/1/21 15:11:31,side
2026/1/21 15:19:15,corridor
2026/1/21 15:19:18,middle
2026/1/21 15:19:19,mid-sep
2026/1/21 15:19:44,middle
2026/1/21 15:19:50,corridor
2026/1/21 15:19:52,side
2026/1/21 15:29:22,corridor
2026/1/21 15:29:28,middle
2026/1/21 15:29:30,mid-sep
2026/1/21 15:29:41,middle
2026/1/21 15:29:43,corridor
2026/1/21 15:29:44,side
2026/1/21 15:32:53,corridor
2026/1/21 15:32:58,middle
2026/1/21 15:32:59,mid-sep
2026/1/21 15:33:28,middle
2026/1/21 15:34:05,corridor
2026/1/21 15:34:07,side
2026/1/21 15:36:42,corridor
2026/1/21 15:36:45,side
2026/1/21 15:48:31,corridor
2026/1/21 15:48:35,middle
2026/1/21 15:48:36,mid-sep
2026/1/21 15:48:39,middle
2026/1/21 15:48:40,corridor
2026/1/21 15:48:40,side
2026/1/21 15:49:54,corridor
2026/1/21 15:49:54,middle
2026/1/21 15:49:55,mid-sep
2026/1/21 15:50:04,middle
2026/1/21 15:50:05,corridor
2026/1/21 15:50:06,side
2026/1/21 16:18:32,corridor
2026/1/21 16:18:33,middle
2026/1/21 16:22:36,corridor
2026/1/21 16:22:38,side
2026/1/21 16:23:02,corridor
2026/1/21 16:23:05,middle
2026/1/21 16:23:17,mid-sep
2026/1/21 16:23:26,middle
2026/1/21 16:23:29,corridor
2026/1/21 16:23:30,side
2026/1/21 16:24:15,corridor
2026/1/21 16:24:17,middle
2026/1/21 16:24:27,corridor
2026/1/21 16:24:28,side
2026/1/21 16:43:10,corridor
2026/1/21 16:43:11,middle
2026/1/21 16:43:12,mid-sep
2026/1/21 16:43:14,middle
2026/1/21 16:43:16,corridor
2026/1/21 16:43:17,side
2026/1/21 16:43:21,corridor
2026/1/21 16:43:21,middle
2026/1/21 16:44:54,corridor
2026/1/21 16:44:56,side
2026/1/21 16:46:57,corridor
2026/1/21 16:46:58,middle
2026/1/21 16:47:09,mid-sep
2026/1/21 16:47:20,middle
2026/1/21 16:47:27,corridor
2026/1/21 16:47:29,side
2026/1/21 16:49:39,corridor
2026/1/21 16:49:40,middle
2026/1/21 16:49:42,mid-sep
2026/1/21 16:49:48,middle
2026/1/21 16:49:51,corridor
2026/1/21 16:49:55,side
2026/1/21 16:50:32,corridor
2026/1/21 16:50:35,side
2026/1/21 17:18:30,corridor
2026/1/21 17:18:31,middle
2026/1/21 17:18:31,mid-sep
2026/1/21 17:18:42,middle
2026/1/21 17:19:03,mid-sep
2026/1/21 17:19:34,middle
2026/1/21 17:19:51,corridor
2026/1/21 17:20:15,side
2026/1/21 17:24:47,corridor
2026/1/21 17:24:48,middle
2026/1/21 17:24:49,mid-sep
2026/1/21 17:25:01,middle
2026/1/21 17:25:07,mid-sep
2026/1/21 17:25:28,middle
2026/1/21 17:25:50,corridor
2026/1/21 17:26:02,side
2026/1/21 17:26:07,corridor
2026/1/21 17:26:07,middle
2026/1/21 17:26:08,mid-sep
2026/1/21 17:26:10,middle
2026/1/21 17:26:10,corridor
2026/1/21 17:26:14,side
2026/1/21 17:28:12,corridor
2026/1/21 17:28:12,middle
2026/1/21 17:28:15,mid-sep
2026/1/21 17:29:12,middle
2026/1/21 17:29:16,corridor
2026/1/21 17:29:18,side
2026/1/21 17:30:24,corridor
2026/1/21 17:30:25,side
2026/1/21 17:39:11,corridor
2026/1/21 17:39:12,middle
2026/1/21 17:39:13,mid-sep
2026/1/21 17:39:21,middle
2026/1/21 17:39:43,mid-sep
2026/1/21 17:40:07,middle
2026/1/21 17:40:28,mid-sep
2026/1/21 17:40:45,middle
2026/1/21 17:41:07,corridor
2026/1/21 17:41:09,side
2026/1/21 18:35:36,corridor
2026/1/21 18:35:37,middle
2026/1/21 18:35:39,mid-sep
2026/1/21 18:35:41,middle
2026/1/21 18:35:44,mid-sep
2026/1/21 18:35:51,middle
2026/1/21 18:36:03,corridor
2026/1/21 18:36:05,side
2026/1/21 18:43:13,corridor
2026/1/21 18:43:14,middle
2026/1/21 18:43:15,mid-sep
2026/1/21 18:43:27,middle
2026/1/21 18:43:50,mid-sep
2026/1/21 18:44:08,middle
2026/1/21 18:44:23,mid-sep
2026/1/21 18:44:29,middle
2026/1/21 18:44:38,mid-sep
2026/1/21 18:46:20,middle
2026/1/21 18:46:23,corridor
2026/1/21 18:46:25,side
2026/1/21 18:46:51,corridor
2026/1/21 18:46:52,middle
2026/1/21 18:46:53,mid-sep
2026/1/21 18:46:56,middle
2026/1/21 18:46:59,corridor
2026/1/21 18:46:59,side
2026/1/21 18:48:06,corridor
2026/1/21 18:48:07,middle
2026/1/21 18:48:08,mid-sep
2026/1/21 18:48:31,middle
2026/1/21 18:48:59,corridor
2026/1/21 18:49:03,side
2026/1/21 19:47:07,corridor
2026/1/21 19:47:08,middle
2026/1/21 19:47:23,mid-sep
2026/1/21 19:47:29,middle
2026/1/21 19:47:56,mid-sep
2026/1/21 19:48:02,middle
2026/1/21 19:48:06,corridor
2026/1/21 19:48:08,side
2026/1/21 19:48:45,corridor
2026/1/21 19:48:47,middle
2026/1/21 19:48:50,mid-sep
2026/1/21 19:49:41,middle
2026/1/21 19:49:43,corridor
2026/1/21 19:49:48,side
2026/1/21 20:51:09,corridor
2026/1/21 20:51:10,middle
2026/1/21 20:51:18,mid-sep
2026/1/21 20:51:22,middle
2026/1/21 20:52:23,mid-sep
2026/1/21 20:52:40,middle
2026/1/21 20:52:44,corridor
2026/1/21 20:52:45,side
2026/1/21 21:53:47,corridor
2026/1/21 21:53:48,middle
2026/1/21 21:53:50,mid-sep
2026/1/21 21:54:27,middle
2026/1/21 21:54:29,corridor
2026/1/21 21:54:30,side
2026/1/21 22:01:44,corridor
2026/1/21 22:01:45,middle
2026/1/21 22:01:48,mid-sep
2026/1/21 22:02:02,middle
2026/1/21 22:02:08,mid-sep
2026/1/21 22:02:18,middle
2026/1/21 22:02:27,mid-sep
2026/1/21 22:02:36,middle
2026/1/21 22:02:37,corridor
2026/1/21 22:02:39,side
2026/1/21 22:41:31,corridor
2026/1/21 22:41:31,middle
2026/1/21 22:41:34,mid-sep
2026/1/21 22:41:44,middle
2026/1/21 22:41:56,mid-sep
2026/1/21 22:42:33,middle
2026/1/21 22:42:37,corridor
2026/1/21 22:42:38,side
2026/1/21 22:43:17,corridor
2026/1/21 22:43:20,middle
2026/1/21 22:43:22,mid-sep
2026/1/21 22:43:25,middle
2026/1/21 22:43:27,corridor
2026/1/21 22:43:30,side
2026/1/21 22:45:08,corridor
2026/1/21 22:45:10,middle
2026/1/21 22:45:51,mid-sep
2026/1/21 22:45:52,middle
2026/1/21 22:46:06,corridor
2026/1/21 22:46:09,side
2026/1/21 23:52:53,corridor
2026/1/21 23:52:54,middle
2026/1/21 23:52:55,mid-sep
2026/1/21 23:53:20,middle
2026/1/21 23:53:22,corridor
2026/1/21 23:53:25,side
2026/1/21 23:55:25,corridor
2026/1/21 23:55:26,side
2026/1/21 23:57:17,corridor
2026/1/21 23:57:18,middle
2026/1/21 23:57:19,mid-sep
2026/1/21 23:57:22,middle
2026/1/21 23:57:22,corridor
2026/1/21 23:57:25,side
2026/1/22 0:01:31,corridor
2026/1/22 0:01:32,middle
2026/1/22 0:01:33,mid-sep
2026/1/22 0:01:52,middle
2026/1/22 0:01:57,mid-sep
2026/1/22 0:02:03,middle
2026/1/22 0:02:11,mid-sep
2026/1/22 0:02:31,middle
2026/1/22 0:02:35,mid-sep
2026/1/22 0:02:45,middle
2026/1/22 0:02:49,mid-sep
2026/1/22 0:02:50,middle
2026/1/22 0:02:53,corridor
2026/1/22 0:02:54,side
2026/1/22 1:02:19,corridor
2026/1/22 1:02:19,middle
2026/1/22 1:02:20,mid-sep
2026/1/22 1:02:27,middle
2026/1/22 1:02:28,corridor
2026/1/22 1:02:28,side
2026/1/22 1:02:44,corridor
2026/1/22 1:02:44,middle
2026/1/22 1:02:48,mid-sep
2026/1/22 1:02:52,middle
2026/1/22 1:02:53,corridor
2026/1/22 1:02:55,side
2026/1/22 2:02:23,corridor
2026/1/22 2:02:23,middle
2026/1/22 2:02:24,mid-sep
2026/1/22 2:02:37,middle
2026/1/22 2:02:44,corridor
2026/1/22 2:02:50,side
2026/1/22 3:27:01,corridor
2026/1/22 3:27:02,middle
2026/1/22 3:27:04,mid-sep
2026/1/22 3:27:32,middle
2026/1/22 3:27:57,mid-sep
2026/1/22 3:28:05,middle
2026/1/22 3:28:11,corridor
2026/1/22 3:28:51,side
2026/1/22 3:37:47,corridor
2026/1/22 3:37:49,middle
2026/1/22 3:37:50,corridor
2026/1/22 3:38:17,side
2026/1/22 4:40:20,corridor
2026/1/22 4:40:21,middle
2026/1/22 4:40:22,mid-sep
2026/1/22 4:40:44,middle
2026/1/22 4:41:06,mid-sep
2026/1/22 4:41:23,middle
2026/1/22 4:41:26,corridor
2026/1/22 4:41:27,side
2026/1/22 4:42:15,corridor
2026/1/22 4:42:17,side
2026/1/22 5:38:01,corridor
2026/1/22 5:38:01,middle
2026/1/22 5:38:01,mid-sep
2026/1/22 5:38:03,middle
2026/1/22 5:38:05,corridor
2026/1/22 5:38:05,side
2026/1/22 5:41:11,corridor
2026/1/22 5:41:12,middle
2026/1/22 5:41:17,mid-sep
2026/1/22 5:41:33,middle
2026/1/22 5:41:39,corridor
2026/1/22 5:41:40,side
2026/1/22 5:42:44,corridor
2026/1/22 5:42:47,middle
2026/1/22 5:42:48,mid-sep
2026/1/22 5:43:07,middle
2026/1/22 5:43:08,corridor
2026/1/22 5:43:09,side
2026/1/22 5:47:05,corridor
2026/1/22 5:47:06,middle
2026/1/22 5:47:08,mid-sep
2026/1/22 5:47:13,middle
2026/1/22 5:47:15,corridor
2026/1/22 5:47:16,side
2026/1/22 5:56:45,corridor
